date,at,ndvi,pr,lst
01/01/2000,31.71,,12.15,30.17
01/02/2000,32.15,0.46,10.57,32.78
01/03/2000,31.47,0.53,175,29.48
01/04/2000,30.96,0.68,169.13,26.67
01/05/2000,30.51,0.71,49,35.82
01/06/2000,28.85,0.67,95.83,32.43
01/07/2000,28.88,0.63,20.95,36.75
01/08/2000,28.71,0.56,41.9,34.29
01/09/2000,30.05,0.48,8.26,28.19
01/10/2000,31.16,0.39,6.36,30.07
01/11/2000,31.34,0.41,75.81,28.99
01/12/2000,30.97,0.6,196.57,32.11
01/01/2001,30.1,0.67,70.15,33.73
01/02/2001,32.44,0.64,72.87,30.92
01/03/2001,32.35,0.67,125.38,37.88
01/04/2001,30.15,0.71,241.39,27.92
01/05/2001,29.99,0.73,114.88,31.14
01/06/2001,29.25,0.71,28.98,32.7
01/07/2001,29.14,0.61,15.33,30.31
01/08/2001,29.42,0.55,5.44,37.04
01/09/2001,30.05,0.47,6.05,31.54
01/10/2001,31.01,0.43,7.11,32
01/11/2001,31.49,0.4,27.87,40.62
01/12/2001,31.48,0.41,80.32,28.49
01/01/2002,31.38,0.54,88.04,32.03
01/02/2002,31.66,0.59,105.84,31.07
01/03/2002,31.35,0.63,187.36,28.94
01/04/2002,29.91,0.73,402.54,27.87
01/05/2002,30.68,0.7,39.15,27.31
01/06/2002,29.94,0.68,10.24,30.32
01/07/2002,29.66,0.63,24.44,29.49
01/08/2002,28.92,0.63,91.38,35.44
01/09/2002,29.55,0.6,52.84,32.76
01/10/2002,31.12,0.55,68.46,28.91
01/11/2002,31.47,0.59,83.84,33.9
01/12/2002,32.06,0.62,123.82,28.65
01/01/2003,31.81,0.64,22.26,33.27
01/02/2003,33.03,0.56,30.29,32.42
01/03/2003,33.07,0.53,101.13,37.74
01/04/2003,32.81,0.62,47.8,28.96
01/05/2003,30.84,0.63,129.77,30.35
01/06/2003,30.05,0.66,83.16,34.11
01/07/2003,28.14,0.62,19.26,34.08
01/08/2003,29.94,0.52,2,35.93
01/09/2003,30.43,0.45,13.03,34.86
01/10/2003,31.99,0.38,29.63,31.47
01/11/2003,32.19,0.42,54.94,36.59
01/12/2003,32.28,0.51,34.52,29.25
01/01/2004,32.29,0.44,69.73,32.96
01/02/2004,31.89,0.57,160.61,28.92
01/03/2004,31.95,0.63,131.72,29.97
01/04/2004,30.06,0.68,253.45,33.27
01/05/2004,30.84,0.66,13.75,35.55
01/06/2004,29.35,0.6,42.7,29.61
01/07/2004,29.44,0.56,2.88,38.91
01/08/2004,30.3,0.45,5.13,32.26
01/09/2004,29.65,0.39,36.2,33.46
01/10/2004,29.74,0.51,101.12,31.03
01/11/2004,30.64,0.6,81.69,29.39
01/12/2004,30.26,0.66,148.52,31.05
01/01/2005,31.91,0.66,109.76,32.51
01/02/2005,32.85,0.64,39.58,28.72
01/03/2005,32.51,0.62,123.72,37.26
01/04/2005,30.98,0.68,125.85,25.61
01/05/2005,30.48,0.71,203,32.36
01/06/2005,30.34,0.67,6.24,34.55
01/07/2005,28.8,0.6,10.9,30.77
01/08/2005,29.14,0.53,22.23,37.52
01/09/2005,30.45,0.48,24.16,32.06
01/10/2005,30.72,0.43,88.64,30.69
01/11/2005,31.29,0.43,22.19,37.08
01/12/2005,32.21,0.45,12.18,29.29
01/01/2006,32.31,0.42,19.8,30.02
01/02/2006,32.55,0.42,45.46,30.99
01/03/2006,31.87,0.6,232.52,32.95
01/04/2006,29.75,0.7,237.99,26.71
01/05/2006,29.71,0.72,121.62,25.52
01/06/2006,28.69,0.7,115.93,32.48
01/07/2006,28.54,0.66,17.59,31.26
01/08/2006,29.2,0.6,9.05,35.49
01/09/2006,29.48,0.52,36.18,34.89
01/10/2006,30.62,0.45,95.87,31.35
01/11/2006,30.57,0.6,199.37,32.19
01/12/2006,30.79,0.65,223.13,27.02
01/01/2007,30.91,0.63,29.1,32.34
01/02/2007,31.76,0.6,48.8,28.52
01/03/2007,31.37,0.62,217.77,35.5
01/04/2007,30.48,0.69,148.31,30.06
01/05/2007,29.78,0.7,110.27,30.2
01/06/2007,29.39,0.67,21.93,33.76
01/07/2007,28.64,0.58,8.3,29.75
01/08/2007,29.24,0.52,35.56,37.41
01/09/2007,30.71,0.46,22.21,32.66
01/10/2007,30.84,0.41,58.71,31.37
01/11/2007,31.09,0.46,82.34,34.38
01/12/2007,31.69,0.57,66.26,29.95
01/01/2008,31.58,0.55,43.16,30.92
01/02/2008,31.14,0.61,83.39,29.32
01/03/2008,31.57,0.57,180.01,30.21
01/04/2008,29.86,0.68,220.01,30.72
01/05/2008,29.91,0.69,60.48,32.4
01/06/2008,28.83,0.64,11.77,28.81
01/07/2008,28.61,0.57,7.28,35.4
01/08/2008,29.3,0.5,10.04,30.99
01/09/2008,30.35,0.44,20.05,31.36
